"LGD_R","LGD_P","LGD_P_pool","LGD_R_pool_1","LGD_R_pool_2","LGD_R_pool_3"
0.38134728384943,0.143407302468436,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.38134728384943,0.336985037492218,"03 [0.3225,0.5024)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.38134728384943,0.143407302468436,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.38134728384943,0.336985037492218,"03 [0.3225,0.5024)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.38134728384943,0.322479240234615,"03 [0.3225,0.5024)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.38134728384943,0.336985037492218,"03 [0.3225,0.5024)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.38134728384943,0.336985037492218,"03 [0.3225,0.5024)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
1.00419361467434,0.336985037492218,"03 [0.3225,0.5024)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
1.0758620527734,0.79006595798531,"05 [0.7705,Inf)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
1.0758620527734,0.79006595798531,"05 [0.7705,Inf)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
0.00885186743981227,0.336985037492218,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00885186743981227,0.336985037492218,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00885186743981227,0.336985037492218,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0758586001359597,0.753915297051268,"04 [0.5024,0.7705)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0758586001359597,0.753915297051268,"04 [0.5024,0.7705)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.93662086467452,0.753915297051268,"04 [0.5024,0.7705)","11 [0.9,1)","06 (0.829, Inf]","05 (0.665, Inf]"
0.904914734158457,0.336985037492218,"03 [0.3225,0.5024)","11 [0.9,1)","06 (0.829, Inf]","05 (0.665, Inf]"
0.963406690949505,0.753915297051268,"04 [0.5024,0.7705)","11 [0.9,1)","06 (0.829, Inf]","05 (0.665, Inf]"
0.93662086467452,0.753915297051268,"04 [0.5024,0.7705)","11 [0.9,1)","06 (0.829, Inf]","05 (0.665, Inf]"
0.208419471273931,0.143407302468436,"01 (-Inf,0.2488)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0.211475899440417,0.143407302468436,"01 (-Inf,0.2488)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0.208419471273931,0.143407302468436,"01 (-Inf,0.2488)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0.202596843212658,0.143407302468436,"01 (-Inf,0.2488)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0.211475899440417,0.143407302468436,"01 (-Inf,0.2488)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0.846396755205262,0.753915297051268,"04 [0.5024,0.7705)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.870687430691557,0.723133860938509,"04 [0.5024,0.7705)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.82365782536773,0.753915297051268,"04 [0.5024,0.7705)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.851118323831449,0.723133860938509,"04 [0.5024,0.7705)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.645492426923568,0.272152155691859,"02 [0.2488,0.3225)","08 [0.6,0.7)","04 (0.355,0.665]","04 (0.355,0.665]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.21148046354589,0.502445412792699,"04 [0.5024,0.7705)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0.246517429434566,0.336985037492218,"03 [0.3225,0.5024)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0051390055975048,0.272152155691859,"02 [0.2488,0.3225)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.384852943482677,0.170106277719797,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.384852943482677,0.170106277719797,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.0976279400811994,0.170106277719797,"01 (-Inf,0.2488)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00317529060208429,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0051390055975048,0.272152155691859,"02 [0.2488,0.3225)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0976279400811994,0.170106277719797,"01 (-Inf,0.2488)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.384852943482677,0.170106277719797,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00300631776580312,0.502445412792699,"04 [0.5024,0.7705)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
1.0948044774146,0.143407302468436,"01 (-Inf,0.2488)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
1.05617469809692,0.79006595798531,"05 [0.7705,Inf)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
1.06018648561226,0.41049403466038,"03 [0.3225,0.5024)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
1.0948044774146,0.143407302468436,"01 (-Inf,0.2488)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
1.05617469809692,0.79006595798531,"05 [0.7705,Inf)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
1.05617469809692,0.79006595798531,"05 [0.7705,Inf)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
0.259168522574444,0.272152155691859,"02 [0.2488,0.3225)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0.240730099852534,0.272152155691859,"02 [0.2488,0.3225)","04 [0.2,0.3)","02 (0.146,0.27]","02 (0.146,0.27]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.43145561678279,0.270368693962829,"02 [0.2488,0.3225)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.312984942396102,0.127329612666709,"01 (-Inf,0.2488)","05 [0.3,0.4)","03 (0.27,0.355]","03 (0.27,0.355]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.312984942396102,0.127329612666709,"01 (-Inf,0.2488)","05 [0.3,0.4)","03 (0.27,0.355]","03 (0.27,0.355]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.148912066092536,0.143407302468436,"01 (-Inf,0.2488)","03 [0.1,0.2)","02 (0.146,0.27]","02 (0.146,0.27]"
0.101103772490082,0.143407302468436,"01 (-Inf,0.2488)","03 [0.1,0.2)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.138273296329615,0.143407302468436,"01 (-Inf,0.2488)","03 [0.1,0.2)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.961547244996153,0.753915297051268,"04 [0.5024,0.7705)","11 [0.9,1)","06 (0.829, Inf]","05 (0.665, Inf]"
0.961547244996153,0.753915297051268,"04 [0.5024,0.7705)","11 [0.9,1)","06 (0.829, Inf]","05 (0.665, Inf]"
0.0681932412076173,0.336985037492218,"03 [0.3225,0.5024)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0681932412076173,0.336985037492218,"03 [0.3225,0.5024)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00940830512616103,0.753915297051268,"04 [0.5024,0.7705)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.82286001290529,0.753915297051268,"04 [0.5024,0.7705)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.00940830512616103,0.753915297051268,"04 [0.5024,0.7705)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00887161599335802,0.322479240234615,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.807588267067984,0.502445412792699,"04 [0.5024,0.7705)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.807588267067984,0.502445412792699,"04 [0.5024,0.7705)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.962795464037141,0.770517742926092,"05 [0.7705,Inf)","11 [0.9,1)","06 (0.829, Inf]","05 (0.665, Inf]"
0.807588267067984,0.502445412792699,"04 [0.5024,0.7705)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.807289278109844,0.770517742926092,"05 [0.7705,Inf)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.00453106667016141,0.322479240234615,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00453106667016141,0.170106277719797,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00453106667016141,0.170106277719797,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0120683808640536,0.322479240234615,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0120683808640536,0.322479240234615,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.663752294265287,0.322479240234615,"03 [0.3225,0.5024)","08 [0.6,0.7)","04 (0.355,0.665]","04 (0.355,0.665]"
0.00453106667016141,0.322479240234615,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.663752294265287,0.322479240234615,"03 [0.3225,0.5024)","08 [0.6,0.7)","04 (0.355,0.665]","04 (0.355,0.665]"
0.63062420323415,0.272152155691859,"02 [0.2488,0.3225)","08 [0.6,0.7)","04 (0.355,0.665]","04 (0.355,0.665]"
0.197765144752202,0.272152155691859,"02 [0.2488,0.3225)","03 [0.1,0.2)","02 (0.146,0.27]","02 (0.146,0.27]"
0.328156190482705,0.270368693962829,"02 [0.2488,0.3225)","05 [0.3,0.4)","03 (0.27,0.355]","03 (0.27,0.355]"
0.578136306860181,0.127329612666709,"01 (-Inf,0.2488)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
1.00275257902578,0.770517742926092,"05 [0.7705,Inf)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
0.0935134057278162,0.127329612666709,"01 (-Inf,0.2488)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.465595036029843,0.753915297051268,"04 [0.5024,0.7705)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.516458498077595,0.753915297051268,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.504678229078765,0.753915297051268,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.504678229078765,0.753915297051268,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.55427463502195,0.753915297051268,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.55427463502195,0.753915297051268,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.480737480045279,0.753915297051268,"04 [0.5024,0.7705)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.548353715155523,0.502445412792699,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0,0.161815904547004,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.161815904547004,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.270368693962829,"02 [0.2488,0.3225)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.161815904547004,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.548353715155523,0.502445412792699,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
1.10001153179859,0.336985037492218,"03 [0.3225,0.5024)","12 [1, Inf]","06 (0.829, Inf]","05 (0.665, Inf]"
0.787121858979942,0.723133860938509,"04 [0.5024,0.7705)","09 [0.7,0.8)","05 (0.665,0.829]","05 (0.665, Inf]"
0.348454435569942,0.270368693962829,"02 [0.2488,0.3225)","05 [0.3,0.4)","03 (0.27,0.355]","03 (0.27,0.355]"
0.446033118552641,0.270368693962829,"02 [0.2488,0.3225)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.446033118552641,0.270368693962829,"02 [0.2488,0.3225)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.0661555570153032,0.237292759155543,"01 (-Inf,0.2488)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.303112837840359,0.270368693962829,"02 [0.2488,0.3225)","05 [0.3,0.4)","03 (0.27,0.355]","03 (0.27,0.355]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
